,Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
0,Afghanistan,Developing,58.19375,269.0625,1252,0.014375,34.9601100659375,64.5625,37796,15.51875,1721,48.375,8.2525,52.3125,0.1,340.01542546875,9972259.8125,16.58125,15.581249999999999,0.415375,8.2125
1,Albania,Developing,75.15625,45.0625,11,4.84875,193.259090710625,98.0,854,49.06875,15,98.125,5.945625,98.0625,0.1,2119.726678875,696911.625,1.61875,1.7,0.709875,12.1375
2,Algeria,Developing,73.61875,108.1875,325,0.4066666666666667,236.185240668625,78.0,31102,48.74375,376,91.75,4.604,91.875,0.1,2847.8533923125,21649827.4375,6.09375,5.975,0.694875,12.7125
3,Angola,Developing,49.01875,328.5625,1340,5.740666666666667,102.10026837,70.22222222222223,56981,18.01875,2122,46.125,3.9193333333333333,47.6875,2.36875,1975.14304511875,10147099.1875,6.1937500000000005,6.66875,0.45837500000000003,8.04375
4,Antigua and Barbuda,Developing,75.05625,127.5,0,7.949333333333333,1001.58522632875,98.26666666666667,0,38.425,0,96.9375,4.791333333333333,98.3125,0.125,9759.305728125,,3.425,3.375,0.48862500000000003,8.84375
5,Argentina,Developing,75.15625,106.0,162,7.966666666666667,773.0389813131251,81.28571428571429,32,54.98125,182,93.375,6.9126666666666665,92.375,0.1,6998.575103125,20121204.5,1.075,0.9500000000000001,0.794125,16.50625
6,Armenia,Developing,73.4,117.375,16,3.7026666666666666,131.0074187505,87.5625,4388,44.70625,16,89.125,4.8613333333333335,87.375,0.1,1999.98631765,1015164.625,2.0375,2.1125000000000003,0.698375,11.7875
7,Australia,Developed,81.8125,63.1875,16,10.155333333333335,5332.2264727375,93.4,1663,55.8625,22,86.75,8.836666666666668,86.875,0.1,34637.565046875,4587009.875,0.66875,0.625,0.9181250000000001,20.0375
8,Austria,Developed,81.48125,65.75,0,12.235999999999999,4928.4391880525,81.0625,1236,48.2875,0,86.0,4.715333333333334,86.75,0.1,33827.47630875,6474879.875,1.73125,1.9375,0.862375,15.3875
9,Azerbaijan,Developing,70.73125,115.1875,97,0.9919999999999999,131.1487469148125,59.214285714285715,9571,43.84375,115,75.8125,5.679333333333333,82.3125,0.1,3302.94780699375,2157370.5,2.9,2.94375,0.7026875,11.35
10,Bahamas,Developing,74.2875,152.0625,0,10.271333333333333,0.0,83.6,0,52.88125,0,95.0,6.706,95.75,0.11875000000000001,,,2.55,2.51875,0.7379375,12.425
11,Bahrain,Developing,75.725,65.375,0,1.9346666666666665,602.087139648875,98.125,107,51.65625,0,98.0,3.8073333333333332,98.0625,0.1,11191.247420625,,6.10625,5.95,0.8079375,14.1125
12,Bangladesh,Developing,69.3,141.375,2458,0.01,32.3209715146875,77.61538461538461,74399,12.875,3225,87.5,2.8546666666666667,92.75,0.1,443.561481025,42985163.875,13.775,14.33125,0.517875,8.69375
13,Barbados,Developing,74.35625,77.625,0,8.206666666666667,389.07699521374997,84.06666666666666,0,45.975,0,80.3125,6.122,89.9375,0.25625,12017.098529375,,3.95625,3.91875,0.7704375,14.89375
14,Belarus,Developing,69.90625,218.75,9,13.497333333333334,329.046455333125,88.9375,397,54.74375,14,89.875,6.191999999999999,92.1875,0.1,3811.525348,6371866.8125,2.2125,2.3375,0.74325,14.75
15,Belgium,Developed,80.68125,70.1875,4,11.042666666666666,2392.4326567562503,74.5,1305,50.89375,16,97.75,5.962000000000001,97.3125,0.1,16915.306,2884042.5625,0.8625,0.8562500000000001,0.87775,16.7875
